,_cached_page_id,_template,_type,description,details,floor,location,pow,price,rooms,url
1006,91d4dcab5805b7c63b6497558df848fef27fb1ae,253c6e77b6b11e1a3e06b6eede2878676c9abf47,default,"Opis Mieszkanie 2 pok. w Dąbiu na parterze w cegle .... Mieszkanie o pow. ok. 58m2, rozkładowe. Salon ok. 26m2 z wyjściem na duży balkon i wyjściem na mały ogródeczek z możliwością wyjścia na zewnątrz. Sypialnia ok. 12m2. Na podłogach panele,ściany gładzone malowane. Kuchnia ok. 10m2 w glazurze i terakocie. Łazienka z wanną i wc w glazurze i terakocie. Przedpokój z szafą w zabudowie. Mieszkanie czyste i zadbane, okna wymienione, drzwi zew. wymienione na nowszego typu. Okolica cicha i spokojna, dużo zieleni, blisko komunikacja miejska, szkoły, przedszkola, sklepy, miejsca rekreacyjne... Zapraszamy ::DODATKOWE INFORMACJE Rodzaj budynku: nowe budownictwo Opłaty w czynszu: woda, CO Stan lokalu: Do odświeżenia Okna: częściowo wymienione Balkon: duży Powierzchnia użytkowa [m2]: 58,00 Ilość pokoi: 2 ::KONTAKT DO AGENTA Marta Wesołowska ( pokaż numer ) ( pokaż numer ) ::DANE BIURA Lex House- Centrala Agencja Obrotu Nieruchomościami Śląska 40 70-432 Szczecin ( pokaż numer ) Pośrednik odpowiedzialny zawodowo za wykonanie umowy pośrednictwa: Bogumila Ambroziak (licencja nr: 9850) Oferta wysłana z systemu Galactica Virgo Kontakt Marta Wesołowska Telefon :",rynek: wtórny okna: drewniane forma własności: spółdzielcze własnościowe,,"Mieszkanie na sprzedaż , Szczecin , Dąbie - Zobacz na mapie",58.0,213,2.0,http://otodom.pl/oferta/mieszkanie-58-m-szczecin-ID2Wwap.html
5610,cd0e96fa24f664457519bb09d2339825f0c82cbc,253c6e77b6b11e1a3e06b6eede2878676c9abf47,default,"Opis Na sprzedaż 2 pokojowe mieszkanie zlokalizowane na os. Bukowym przy ul. Akwarelowej. Lokal położony jest w budynku z cegły 2-piętrowym z 2001r. na 2 piętrze. Na metraż mieszkania (51,5 m2) składają się: dwa pokoje (24 m2, 18 m2) przedpokój, kuchnia w formie aneksu, łazienka z wc. Z salonu wyjście na balkon. Kuchnia w formie aneksu - na podłodze terakota, w cenie zabudowa kuchenna, na ścianie pas glazury. Na przedpokoju szafa typu komandor, na podłodze panele. Łazienka razem z wc, w glazurze i terakocie, kabina prysznicowa.W pokojach rolety antywłamaniowe. Ogrzewanie i ciepła woda z pieca gazowego. Czynsz: 250zł. W pobliżu: komunikacja miejska, Puszcza Bukowa, kwiaciarnia, sklepy, szpital, szkoła. Serdecznie zapraszam do umówienia się na prezentację mieszkania. Gwarant Nieruchomości ul. Chodkiewicza 1 70-344 Szczecin ( pokaż numer ) Powyższe informacje zostały sporzadzone na podstawie oświadczen i nie stanowia oferty w rozumieniu przepisów prawa. Oferta wysłana z programu dla biur nieruchomości - asariWEB Kontakt Adam Hoffmann Telefon :",rynek: wtórny rodzaj zabudowy: blok materiał budynku: cegła ogrzewanie: gazowe rok budowy: 2001 czynsz: 250 zł forma własności: pełna własność media telewizja kablowa internet,2.0,"Mieszkanie na sprzedaż , Szczecin , Bukowe , Akwarelowa - Zobacz na mapie",51.5,259,2.0,http://otodom.pl/oferta/mieszkanie-51-50-m-szczecin-ID2sgia.html
1631,99b944bed59b7c734cc10f3b0bc70dc5208d7b54,253c6e77b6b11e1a3e06b6eede2878676c9abf47,default,"Opis Polecam piękne trzypokojowe mieszkanie o pow. 78,76m2 (II piętro), w bliskim sąsiedztwie Książnicy Pomorskiej. Mieszkanie zadbane, w bardzo dobrym stanie technicznym, pokoje rozkładowe, osobna kuchnia i łazienka z WC. Wysoki standard wykończenia, na podłodze panele, w łazience glazura i terakota, okna PCV. Mieszkanie gotowe do wprowadzenia, nie wymaga żadnych dodatkowych nakładów finansowych. Ogrzewanie gazowe, czynsz do wspólnoty wynosi 510 zł, w tym fundusz remontowy i zaliczka na zimną wodę, dodatkowo opłaty za prąd co dwa miesiące. Oferta wyjątkowo interesująca ze względu na bardzo korzystną cenę oraz doskonałą lokalizację w sercu Szczecina. Zapraszam na prezentację! Pośrednik odpowiedzialny zawodowo za wykonanie umowy pośrednictwa: Anna Bek (licencja nr: 22210) Oferta wysłana z systemu Galactica Virgo Kontakt Anna Bek Telefon :",rynek: wtórny rodzaj zabudowy: kamienica okna: plastikowe ogrzewanie: gazowe rok budowy: 1930,2.0,"Mieszkanie na sprzedaż , Szczecin , Centrum - Zobacz na mapie",78.76,400,3.0,http://otodom.pl/oferta/mieszkanie-78-76-m-szczecin-ID2UowP.html
3384,59c1b7bfe3c4667df2658487af99b6fddacf9d9f,253c6e77b6b11e1a3e06b6eede2878676c9abf47,default,"Opis *** NOWA NIŻSZA CENA *** DOSTĘPNE W PROGRAMIE MDM SUPER OFERTA !!! MIESZKANIE 117 m 2 !!! 2 balkony i TARAS !!! dzielnica MIERZYN Na sprzedaż piękne, dwupoziomowe mieszkanie w popularnej dzielnicy Mierzyn. Mieszkanie ma wiele atutów. Poza świetną lokalizacją jaką jest bardzo popularna dzielnica Mierzyn, warto również zwrócić uwagę na ciszę i spokój, jaką daje malowniczy obraz z okien, balkonów i tarasu. OFERTA NA WYŁĄCZNOŚĆ !!! Dzięki kolorystyce panującej w mieszkaniu - wszelakich odcieni beżów i brązów - mieszkanie jest niezwykle przytulne. Kominek dodaje mieszkaniu niezwykłego klimatu. Na mieszkanie składają się: Kuchnia otwarta z aneksem kuchennym (1 poziom), Obszerny hall (1 poziom), Łazienka z wanną, kabiną prysznicową i WC (1 poziom), Osobne WC (1 poziom), Salon z kominkiem i wyjściem na taras (1 poziom), Sypialnia z szafą typu komandor (1 poziom), Łazienka z kabiną prysznicową i WC (2 poziom), Sypialnia z balkonem (2 poziom), Sypialnia z balkonem (2 poziom), Hall (2 poziom), Niewielkie poddasze. KLUCZE W BIURZE !!! Dodatkowo możliwość kupna garażu 3 stanowiskowego za jedyne 38 tys. !!! Poza garażem przed blokiem znajdują się również miejsca parkingowe dla mieszkańców bloku. Gorąco polecam i zapraszam na prezentację! ::LINK DO STRONY ?id=104928 ::DANE BIURA KING NIERUCHOMOŚCI AGENCJA OBROTU NIERUCHOMOŚCIAMI MICHAŁ KRAWCZYK Jagiellońska 18/1 70-362 Szczecin ( pokaż numer ) Pośrednik odpowiedzialny zawodowo za wykonanie umowy pośrednictwa: Małgorzata Maciejewska (licencja nr: 16168) - ***** SKUPUJEMY MIESZKANIA ZADŁUŻONE ZA GOTÓWKĘ ***** -------------ZADZWOŃ ( pokaż numer ) ------------------ *Powyższa oferta ma charakter jedynie informacyjny i została utworzona na podstawie oświadczeń właściciela nieruchomości, niniejsza oferta nie stanowi oferty handlowej w rozumieniu art. 66 §1 kodeksu cywilnego oraz innych właściwych przepisów prawnych. Oferta wysłana z systemu Galactica Virgo Kontakt Małgorzata Maciejewska Telefon :",,1.0,"Mieszkanie na sprzedaż , Szczecin , Mierzyn - Zobacz na mapie",117.0,405,4.0,http://otodom.pl/oferta/mieszkanie-117-m-szczecin-ID2QBUX.html
5185,8c854f717b9382ce4351f20569985554b270b7c5,253c6e77b6b11e1a3e06b6eede2878676c9abf47,default,"Opis GOTOWE MIESZKANIA BEZ SKOSÓW W CENTRUM! Polecam mieszkanie 2 pokojowe usytuowane w wyremontowanej kamienicy w okolicach Al. Wojska Polskiego. Na powierzchnie 45m2 składa się przedpokój z wnęką na zabudowę szafy, salon z aneksem kuchennym, kompletnie wyposażona łazienka oraz ustawna sypialnia. Ogrzewanie z nowego pieca gazowego. Ściany gładzone i malowane. Na podłogach panele. Nowy Dach, Okna PCV. Instalacja elektryczna oraz wodno-kanalizacyjna nowa. Przewidywalny czynsz ok. 150zł. Na życzenie klienta inwestor może wykonać jeszcze jedno okno dachowe w dowolnym miejscu. Do wydania od zaraz! Centrum miasta zapewnia wszystkie środki użyteczności publicznej. Polecam! SERDECZNIE ZAPRASZAM NA PREZENTACJE !!! Sprawdź naszą pełną ofertę na stronie E L I T E . N I E R U C H O M O S C I . P L gdzie znajdziecie Państwo ponad 20.000 aktualnych ofert nieruchomości ! Każdy zainteresowany zakupem nieruchomości z naszej bazy ofert ma gwarantowaną obsługę w zakresie uzyskania kredytu (bez prowizji od kupującego i dodatkowych kosztów związanych z załatwieniem kredytu). Współpracując z największym brokerem kredytowym na rynku polskim możemy sprawdzić dla Państwa zdolność kredytową w ponad 20 bankach. O szczegóły proszę pytać agenta odpowiedzialnego za to ogłoszenie. *****KUPUJEMY MIESZKANIA Z OBCIĄŻENIAMI I DŁUGAMI ZA GOTÓWKĘ***** ZADZWOŃ ( pokaż numer ) Powyższe ogłoszenie ma wyłącznie charakter informacyjny. Nie stanowi ono oferty w myśl art. 66 i n. ustawy z dnia 23.04.1964r. Kodeks cywilny (Dz.U. 1964r. Nr 16, poz. 93, ze zm.). Oferta wysłana z programu dla biur nieruchomości - asariWEB Kontakt Izabela Bogacka Telefon :",rynek: pierwotny rodzaj zabudowy: kamienica materiał budynku: cegła ogrzewanie: gazowe rok budowy: 1930 stan wykończenia: do zamieszkania czynsz: 150 zł forma własności: pełna własność,4.0,"Mieszkanie na sprzedaż , Szczecin , Centrum - Zobacz na mapie",46.0,180,2.0,http://otodom.pl/oferta/mieszkanie-46-m-szczecin-ID2l3Yr.html
4057,0e723d9f0e6fd320a6909bed4254423a1336ad0b,253c6e77b6b11e1a3e06b6eede2878676c9abf47,default,"Opis Na sprzedaż mieszkanie 58,51 m plus poddasze w stanie deweloperskim położone w bardzo atrakcyjnej i prestiżowej dzielnicy Szczecina na Warszewie. Wygodne mieszkanie trzypokojowe na II piętrze. Duży salon zlokalizowany jest od wschodniej strony. Duży salon połączony z kuchnią 24,23m , dwie sypialnie10,66m i 9,09 m , łazienka 5,59 m , dodatkowa powierzchnia w poddaszu - możliwość czwartego pokoju . Balkon ma powierzchnię 10,11 m2.Dla wygody mieszkańców zainstalowano windy ułatwiające komunikację pomiędzy podziemnymi garażami, a mieszkaniami.Możliwość zakupu miejsca postojowego w podziemiach budynku . Nieruchomość w bardzo malowniczym rejonie Warszewa ,w bliskiej odległości do komunikacji miejskiej, usług, placówek oświatowych. Oferujemy również usługi ekip zajmujących się remontami wnętrz oraz 30% RABATU na usługi architekta wnętrz . Pomagamy w uzyskaniu kredytu. Zapewniamy pełną obsługę prawną oraz kredytową w naszym biurze . Nasi doradcy finansowi przygotują najlepszą ofertę kredytową spośród kilkunastu banków. Wszystkie formalności załatwiamy na miejscu. Zapraszamy na prezentację. Oferta wysłana z programu dla biur nieruchomości - asariWEB Kontakt Market Deweloperski Telefon :",rynek: pierwotny rodzaj zabudowy: blok materiał budynku: pustak okna: drewniane ogrzewanie: miejskie rok budowy: 2015 stan wykończenia: do wykończenia czynsz: 100 zł forma własności: pełna własność,2.0,"Mieszkanie na sprzedaż , Szczecin , Warszewo - Zobacz na mapie",58.51,304,3.0,http://otodom.pl/oferta/mieszkanie-58-m-plus-poddasze-warszewo-ID2OgQh.html
964,1a2bec87893aef43142ca64e3fdee39fdbb81b8b,253c6e77b6b11e1a3e06b6eede2878676c9abf47,default,"Opis Mieszkanie dwupokojowe rozkładowe na Pomorzanach świeżo po kapitalnym remoncie. W pokojach na podłodze nowe panele, ściany gładzone malowane, nowe drzwi z ościeżnicami. Nowa armatura sanitarna. Nowe kafle, lampy. Kuchnia widna w z oknem na podłodze i na ścianach nowe kafle , wyposażona w nowe meble na wymiar, nowy sprzęt AGD- piekarnik w zabudowie, płyta elektryczna, lodówka. Łazienka z wc razem , w łazience kabina prysznicowa. Okna PCV. . Zarówno ogrzewanie jak i ciepła woda z sieci miejskiej . Dodatkowym atutem jest bardzo dobra lokalizacja , w pobliżu pętla tramwajowa i autobusowa , park, liczne sklepy, banki , szkoły. Oferta wysłana z programu dla biur nieruchomości - asariWEB Kontakt Anna Brożyna 0603851827 Telefon :",rynek: wtórny rodzaj zabudowy: blok materiał budynku: wielka płyta ogrzewanie: miejskie rok budowy: 1980 stan wykończenia: do zamieszkania czynsz: 420 zł forma własności: pełna własność,6.0,"Mieszkanie na sprzedaż , Szczecin , Pomorzany , Budziszyńska - Zobacz na mapie",47.0,229,2.0,http://otodom.pl/oferta/mieszkanie-47-m-szczecin-ID2WvFR.html
5694,d09e0e7399095090b503c673ea11b3777ca6a638,253c6e77b6b11e1a3e06b6eede2878676c9abf47,default,"Opis Bardzo ładne przytulne mieszkanie położone na 4/4p. Trzy pokoje rozkładowe. Kuchnia z oknem. Łazienka, wc osobno. W salonie ściany gładzone , malowane. Na podłodze panele podłogowe. Za salonu wyjście na balkon z pięknym widokiem. W pokoju dziecięcym, ściany malowane, panele podłogowe Pokój składa się z dwóch pomieszczeń. Pokój posiada wyjście na balkon. W pokoju sypialnianym, szafy. Łazienka w płytkach i terakocie, wanna narożnikowa. W kuchni meble wraz ze sprzętem. W przedpokoju szafa w zabudowie na podłodze terakota. Mieszkanie nie wymaga większych nakładów finansowych. Okna PCV, piwnica, ogrzewanie z sieci miejskiej, czynsz 690zł/4os. Czysta klatka schodowa. Budynek położony w drugiej linii zabudowy. Na osiedlu plac zabaw, zieleń. W pobliżu komunikacja miejska, sklepy. Oferta 0%. Prowizję Kupującego pokrywa Sprzedający. Przy zakupie tej nieruchomości zapewniamy Państwu pełną obsługę kredytową na bardzo korzystnych warunkach. Naszym priorytetem jest bezpieczeństwo i zadowolenie naszych klientów. Najlepszych informacji udzieli Państwu agent prowadzący:Mirella ( pokaż numer ) Kontakt Mirella Matuszak Telefon :",rynek: wtórny forma własności: spółdzielcze wł. z KW,4.0,"Mieszkanie na sprzedaż , Szczecin , Zdroje , Zakatek - Zobacz na mapie",65.0,269,3.0,http://otodom.pl/oferta/mieszkanie-65-m-szczecin-ID2qA9G.html
7066,b9a38d73ffd59de9e21dddc9946f7390c80dca42,253c6e77b6b11e1a3e06b6eede2878676c9abf47,default,"Opis Szukasz wymarzonego lokum ? Cenisz sobie funkcjonalność i poczucie komfortu? Masz dość blokowisk i mieszkań w zgiełku szaleńczo pędzącego miasta? Marzysz o własnym azylu w atrakcyjnej cenie ? Ta oferta jest dla Ciebie!! Bardzo funkcjonalne, duże 2 poziomowe mieszkanie zlokalizowane na cichej jednokierunkowej uliczce starego Pogodna. Na powierzchnię całkowitą 126m2, mierzoną po podłodze (użytkowa 85m2) wchodzą cztery rozkładowe pokoje: trzy pokoje na dole, łazienka, widna kuchnia oraz na drugim poziomie jeden duży pokój (wielka otwarta przestrzeń) oraz łazienka. Na ścianach tapety i gładzie, na podłogach deski i panele. Okna PCV. Kuchnia z oknem, gustownie wykończona, z jadalnią. Budynek ocieplony. Uwaga! mieszkanie z własnym ogródkiem z murowaną altanką (widoczne z okna). Dodatkowo za 20 tysięcy można dokupić murowany garaż wolnostojący w podwórzu. Ogrzewanie i ciepła woda z pieca gazowego. Świetna lokalizacja, szczecińskie Pogodno to dobry adres! Zapraszam na prezentację. Dzwoń ( pokaż numer ) Wysyłając zapytanie z tego miejsca proszę powołać się na numer: Nr oferty: MS-3521 Nr licencji pośrednika 5071 Informacje zawarte w ofercie sporządzone zostały na podstawie oświadczeń, więc nie stanowią ""oferty"" w rozumieniu przepisów prawa. Pośrednik odpowiedzialny zawodowo za wykonanie umowy pośrednictwa: Jarosław Mazurek (licencja nr: 5071) Oferta wysłana z systemu Galactica Virgo Kontakt Jarosław Mazurek Telefon :",rynek: wtórny materiał budynku: cegła okna: plastikowe ogrzewanie: gazowe rok budowy: 1917 czynsz: 600 zł forma własności: pełna własność,2.0,"Mieszkanie na sprzedaż , Szczecin , Pogodno - Zobacz na mapie",126.0,365,4.0,http://otodom.pl/oferta/mieszkanie-126-m-szczecin-ID1SYmZ.html
2525,2ecfb59b202f0c155bcb59f03e08299cdddc0a59,253c6e77b6b11e1a3e06b6eede2878676c9abf47,default,"Opis Apartament o powierzchni ponad 81 m2 na Bezrzeczu. Pełna infrastruktura, cisza i spokój, blisko do komunikacji, sklepów. Komfortowy i przepiękny apartament na parterze niewysokiej zabudowy. Dwa niezależne wejścia. W pobliżu garaż (wynajem za 70 zł). Okna na dwie strony budynku. Osiedle kameralne i zadbane. Przed wejściem i z tyłu ogrodu dwie zamykane komórki. Na całość pomieszczeń składają się: przedsionek; korytarz; duży salon z kuchnią w aneksie oraz wyjściem na zaciszny i kameralny ogród; pozostałe dwa pokoje pełnią funkcję sypialni i pokoju dziecinnego; łazienka przestronna z wanną i prysznicem, umywalką oraz toaletą; garderoba; pomieszczenie gospodarcze z pralnią i piecem. Ogrzewanie i ciepła woda z pieca gazowego, w łazience ogrzewanie podłogowe. Ogród osłonięty wysokimi tujami, wyjście na mały taras, który można dodatkowo zacienić przez zasłonięcie markizą. Całość wyposażenia pozostaje w cenie dla komfortu nowego Właściciela tej nieruchomości. Doskonała aranżacja wnętrza, wykonanie i wyposażenie z wysokiej klasy materiałów, a także liczne zabudowy stałe wszystko to wpływa na wygodę, funkcjonalność i samopoczucie osób tu mieszkających. Zapraszam do osobistej weryfikacji i poznania tego apartamentu. Nieruchomości to nasza specjalność. Oferta wysłana z programu dla biur nieruchomości - asariWEB Kontakt Renata Ferra Telefon :",rynek: wtórny rodzaj zabudowy: apartamentowiec materiał budynku: cegła okna: plastikowe ogrzewanie: gazowe rok budowy: 2005 stan wykończenia: do zamieszkania czynsz: 270 zł forma własności: pełna własność,,"Mieszkanie na sprzedaż , Szczecin , Bezrzecze - Zobacz na mapie",81.2,469,3.0,http://otodom.pl/oferta/mieszkanie-81-20-m-szczecin-ID2Shgd.html
5792,dbb30cc39ffd45e734cdc662900b299d4f9397a9,253c6e77b6b11e1a3e06b6eede2878676c9abf47,default,"Opis W ofercie sprzedaży mieszkanie w stanie deweloperskim podwyższonym na 5 pietrze stylowej kamienicy po kapitalnym remoncie w ścisłym centrum Szczecina blisko basen WDS, Pleciugi,Galaxy. Miejsca postojowe przed jak i w podwórzu kamienicy. Niski czynsz około 200zł Mieszkanie nowe z balkonem, dwa pokoje lub otwarta przestrzeń loftowa, dodatkowe doświetlenie mieszkania, świetliki w suficie. Nowy dach, nowe ściany gładzone na podłodze panele, okna PCV nowe instalacje elektryczna, wod-kan, C.O. z nowoczesnym kotłem gazowym dwufunkcyjnym z zamkniętą komorą spalania. Możliwość montażu instalacji klimatyzacji. Standard wykończenia - panele podłogowe, malowane ściany, drzwi wewnętrzne, drzwi zewnętrzne antywłamaniowe, pełne wyposażenie łazienki(wc/prysznic)(Hansgrohe, Koło). Mieszkanie od ręki do wprowadzenia do urzadznenia w własnym zakresie pozostaje tylko zabudowa kuchenna. Zapraszam na prezentację Kontakt Krzysztof Wala Telefon :",rynek: pierwotny rodzaj zabudowy: kamienica materiał budynku: cegła okna: plastikowe ogrzewanie: gazowe stan wykończenia: do zamieszkania czynsz: 200 zł forma własności: pełna własność media telewizja kablowa internet telefon zabezpieczenia drzwi / okna antywłamaniowe domofon / wideofon,5.0,"Mieszkanie na sprzedaż , Szczecin , Centrum - Zobacz na mapie",48.0,228,2.0,http://otodom.pl/oferta/mieszkanie-48-m-szczecin-ID2opi0.html
5561,9bffbfaacd18919d67b28f9c6ffabbb6933211f5,253c6e77b6b11e1a3e06b6eede2878676c9abf47,default,"Opis Do sprzedania dwupoziomowe mieszkanie w standardzie podwyższonym deweloperskim.Powierzchnia lokalu dół 45,8 m2 , całkowita 91,2 W mieszkaniach zainstalowane są drzwi typu antywłamaniowego , instalacja elektryczna z oprawami , dwubiegowy piec gazowy z zamknięta komorą spalania i kaloryfery , murowane parapety , instalacja telefoniczna , internetowa i anteny. Stolarka okienna 5-cio komorowa o współczynniku k=1,0. Dom wybudowany z cegły POROTHERM i dodatkowo docieplony styropianem . Elewacja wykonana z tynku cienkościennego , mineralnego.Klatki schodowe wykończone płytkami typu gres. W pobliżu osiedla węzeł komunikacji miejskiej , sklepy , przedszkola i szkoły oraz ryneczek Wilcza. W podziemiu budynków znajduje się otwarty garaż wielostanowiskowy i komórki lokatorskie. Możliwość dokupienia garażu za 15 tyś lub komórki lokatorskiej z 5 tysięcy. Na kompleks składają się 63 mieszkania o powierzchni od 31 do 130 m2. Część z nich posiada duże 35 m2 tarasy. Polecam i zapraszam na prezentacje.UWAGA kupujący nie płaci podatku PCC Więcej informacji o ofercie na stronie Świat Nieruchomości pod numerem 288979 Opiekun oferty Ania Walentin ( pokaż numer ) Świat Nieruchomości Szczecin - mieszkania, domy i działki. Licencjonowane Biuro Nieruchomości. Gwarantujemy Bezpieczny Zakup. Oferta wysłana z programu dla biur nieruchomości - asariWEB Kontakt Anna Walentin Telefon :",rynek: pierwotny rodzaj zabudowy: blok materiał budynku: cegła ogrzewanie: gazowe rok budowy: 2012 stan wykończenia: do wykończenia czynsz: 220 zł media telewizja kablowa internet,3.0,"Mieszkanie na sprzedaż , Szczecin , Żelechowa , Hoża - Zobacz na mapie",91.2,355,3.0,http://otodom.pl/oferta/mieszkanie-91-20-m-szczecin-ID2tcNq.html
2319,854e52ad62c1a104590944be52cdb644c5ace5cb,253c6e77b6b11e1a3e06b6eede2878676c9abf47,default,"Opis Budynek z cegły. Nowa elewacja i wymienione instalacje. Doskonała lokalizacja w ścisłym centrum miasta, idealna na inwestycje pod wynajem. Mieszkanie słoneczne, ciepłe, przestronne. Balkon od strony południowej. Pokoje: 22, 20, 10mkw, widna kuchnia: 10mkw, łazienka: 4mkw, osobno wc. Podłogi: parkiet. Okna pcv i drewniane. Ściany: tapety. Kafle starszego typu w kuchni i łazience. Okna dwóch pokoi wychodzą na ciche podwórze. Na podwórku miejsca parkingowe dla mieszkańców budynku. Czynsz: 590zł/ogrzewanie, woda, fundusz remontowy/. Wydanie do 3 miesięcy. Możliwość zakupu w ramach programu MDM. Oferta wysłana z programu dla biur nieruchomości - asariWEB Kontakt DARIUSZ NOWAKOWSKI Telefon :",rynek: wtórny rodzaj zabudowy: blok materiał budynku: cegła ogrzewanie: miejskie rok budowy: 1960 stan wykończenia: do remontu czynsz: 590 zł forma własności: pełna własność media telewizja kablowa internet telefon,3.0,"Mieszkanie na sprzedaż , Szczecin , Centrum , ks. kard. Stefana Wyszyńskiego - Zobacz na mapie",71.0,289,3.0,http://otodom.pl/oferta/doskonala-lokalizacja-3-pokoje-71m2-249-000zl-ID2SSNt.html
361,fe0d3a2b99a75637f73b419607e1f2c505fb400a,253c6e77b6b11e1a3e06b6eede2878676c9abf47,default,"Opis Dwupokojowe mieszkanie z aneksem kuchennym przekształcone z kawalerki (33,09 m2). Róg ulic Bogusława i Łokietka. Pokoje i kuchnia po remoncie. Łazienka i przedpokój do remontu. W całym mieszkaniu wymieniona instalacja elektryczna. Ciepła woda z junkersa. Zabudowa kuchenna i sprzęt w cenie. Meble również. Nowe drzwi antywłamaniowe oraz drewniane drzwi z tablicą w pokoju dziecięcym. Polecam ze względu na lokalizację w samym sercu miasta. Pośrednikom dziękuję :) Kontakt Marcelina Telefon :",rynek: wtórny rodzaj zabudowy: blok okna: plastikowe ogrzewanie: miejskie stan wykończenia: do zamieszkania czynsz: 350 zł forma własności: pełna własność zabezpieczenia teren zamknięty domofon / wideofon wyposażenie zmywarka lodówka meble piekarnik kuchenka,3.0,"Mieszkanie na sprzedaż , Szczecin , Śródmieście , Księcia Bogusława X - Zobacz na mapie",33.09,139,2.0,http://otodom.pl/oferta/2-pokoje-z-aneksem-w-scislym-centrum-ID2V9zL.html
7639,4dd75acc6117fee18479588270ef3cee7926523b,253c6e77b6b11e1a3e06b6eede2878676c9abf47,default,"Opis Położone w Centrum mieszkanie dwupokojowe, salon 19,5m2 z aneksem kuchennym 7,6 m2, drugi pokój o powierzchni 23,7 m2, łazienka 5,3 m2, przedpokój 3,3m2. W aneksie kuchennym na podłodze oraz na ścianie w pasie roboczym płytki, łazienka z WC i wanną wykończona płytkami. W pokojach panele. Zabudowa kuchenna wraz ze sprzętem AGD (Whirpool, Amica) oraz szafa typu Komandor w cenie. Polecam ze względu na położenie w Centrum, a zarazem oddalenie od głównych ulic, dzięki czemu mieszkanie jest ciche. Blisko przedszkole, szkoła, komunikacja miejska. Gwarant Nieruchomości ul. Chodkiewicza 1 70-344 Szczecin ( pokaż numer ) Powyższe informacje zostały sporzadzone na podstawie oświadczen i nie stanowia oferty w rozumieniu przepisów prawa. Oferta wysłana z programu dla biur nieruchomości - asariWEB Kontakt Adam Hoffmann Telefon :",rynek: wtórny rodzaj zabudowy: blok materiał budynku: cegła ogrzewanie: miejskie rok budowy: 2000 stan wykończenia: do zamieszkania forma własności: pełna własność media telewizja kablowa internet telefon,3.0,"Mieszkanie na sprzedaż , Szczecin , Centrum , Czesława - Zobacz na mapie",59.4,279,2.0,http://otodom.pl/oferta/mieszkanie-59-40-m-szczecin-ID1lTBr.html
4722,74b86652c4aaa9559f5fa9c09c37ad1f4e08b11a,253c6e77b6b11e1a3e06b6eede2878676c9abf47,default,"Opis Mieszkanie 4-ro pokojowe na Prawobrzeżu - w Zdrojach. Mieszkanie w pełni wyposażone (meble wysokiej jakości i nowoczesne) oraz kuchnia w zabudowie wraz ze sprzętem AGD. Zlokalizowane w bezpośrednim sąsiedztwie osiedla willowego (naprzeciw domki jednorodzinne), w zacisznej i zamkniętej uliczce (bez przejazdu), z drugiej strony skwerek wraz z placem zabaw dla dzieci. W bliskiej lokalizacji doskonała komunikacja - autobusowa (również autobusy pospieszne), kolejowa (nie uciążliwa) oraz w bliskiej, ale nie hałaśliwej odległości od ""szybkiego tramwaju"". Na spacery Puszcza Bukowa w zasięgu ""kilku kroków"". W okolicy Sklepy LIDL, Biedronka, Carrefour, Kaufland, Real (Auchan), Tesco, Castorama, Netto, rynek warzywno-owocowy, puby, tanie stacje benzynowe przy centrum handlowym, Kompleks handlowy Outlet Park wraz z nowoczesnym kinem, restauracje fast-food (McDonalds, Pizza Hut, KFC, Burger King, Pizzerie, Kebap, restauracje, apteka, przychodnia, szpital. Doskonała komunikacja z pozostałą częścią miasta, a co najważniejsze z resztą kraju - bezpośredni wyjazd autostradą nad morze i w inne zakątki Polski. Mieszkanie nie wymaga nakładów finansowych potrzebnych do komfortowego użytkowania. Zapraszam na prezentację. Oferta wysłana z programu dla biur nieruchomości - asariWEB Kontakt Anna Walawska Telefon :",rynek: wtórny rodzaj zabudowy: blok materiał budynku: wielka płyta okna: plastikowe ogrzewanie: miejskie rok budowy: 1979 stan wykończenia: do zamieszkania czynsz: 580 zł media telewizja kablowa internet,2.0,"Mieszkanie na sprzedaż , Szczecin , Prawobrzeże , Widok - Zobacz na mapie",63.6,285,4.0,http://otodom.pl/oferta/mieszkanie-4-ro-pokojowe-prawobrzeze-zdroje-ID2JRhr.html
